sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3120,SO2,2018-05-21T07:13:23Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/21/S5P_RPRO_L2__SO2____20180521T071323_20180521T085453_03120_03_020401_20230116T201723/S5P_RPRO_L2__SO2____20180521T071323_20180521T085453_03120_03_020401_20230116T201723.nc,1.0
3134,HCHO,2018-05-22T06:54:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/22/S5P_RPRO_L2__HCHO___20180522T065424_20180522T083554_03134_03_020401_20230116T193946/S5P_RPRO_L2__HCHO___20180522T065424_20180522T083554_03134_03_020401_20230116T193946.nc,1.0
3134,NO2,2018-05-22T06:54:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/22/S5P_RPRO_L2__NO2____20180522T065424_20180522T083554_03134_03_020400_20221129T143632/S5P_RPRO_L2__NO2____20180522T065424_20180522T083554_03134_03_020400_20221129T143632.nc,1.0
3134,SO2,2018-05-22T06:54:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/22/S5P_RPRO_L2__SO2____20180522T065424_20180522T083554_03134_03_020401_20230116T220711/S5P_RPRO_L2__SO2____20180522T065424_20180522T083554_03134_03_020401_20230116T220711.nc,1.0
3148,HCHO,2018-05-23T06:35:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/23/S5P_RPRO_L2__HCHO___20180523T063524_20180523T081654_03148_03_020401_20230116T213038/S5P_RPRO_L2__HCHO___20180523T063524_20180523T081654_03148_03_020401_20230116T213038.nc,1.0
3148,NO2,2018-05-23T06:35:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/23/S5P_RPRO_L2__NO2____20180523T063524_20180523T081654_03148_03_020400_20221129T144507/S5P_RPRO_L2__NO2____20180523T063524_20180523T081654_03148_03_020400_20221129T144507.nc,1.0
3148,SO2,2018-05-23T06:35:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/23/S5P_RPRO_L2__SO2____20180523T063524_20180523T081654_03148_03_020401_20230116T235202/S5P_RPRO_L2__SO2____20180523T063524_20180523T081654_03148_03_020401_20230116T235202.nc,1.0
3162,HCHO,2018-05-24T06:16:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/24/S5P_RPRO_L2__HCHO___20180524T061624_20180524T075754_03162_03_020401_20230116T233433/S5P_RPRO_L2__HCHO___20180524T061624_20180524T075754_03162_03_020401_20230116T233433.nc,1.0
3162,NO2,2018-05-24T06:16:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/24/S5P_RPRO_L2__NO2____20180524T061624_20180524T075754_03162_03_020400_20221129T150924/S5P_RPRO_L2__NO2____20180524T061624_20180524T075754_03162_03_020400_20221129T150924.nc,1.0
3162,SO2,2018-05-24T06:16:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/24/S5P_RPRO_L2__SO2____20180524T061624_20180524T075754_03162_03_020401_20230117T013314/S5P_RPRO_L2__SO2____20180524T061624_20180524T075754_03162_03_020401_20230117T013314.nc,1.0
3205,HCHO,2018-05-27T07:00:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/27/S5P_RPRO_L2__HCHO___20180527T070054_20180527T084224_03205_03_020401_20230117T104733/S5P_RPRO_L2__HCHO___20180527T070054_20180527T084224_03205_03_020401_20230117T104733.nc,1.0
3205,NO2,2018-05-27T07:00:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/27/S5P_RPRO_L2__NO2____20180527T070054_20180527T084224_03205_03_020400_20221129T151832/S5P_RPRO_L2__NO2____20180527T070054_20180527T084224_03205_03_020400_20221129T151832.nc,1.0
3205,SO2,2018-05-27T07:00:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/27/S5P_RPRO_L2__SO2____20180527T070054_20180527T084224_03205_03_020401_20230117T114721/S5P_RPRO_L2__SO2____20180527T070054_20180527T084224_03205_03_020401_20230117T114721.nc,1.0
3219,HCHO,2018-05-28T06:41:53Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/28/S5P_RPRO_L2__HCHO___20180528T064153_20180528T082323_03219_03_020401_20230117T121638/S5P_RPRO_L2__HCHO___20180528T064153_20180528T082323_03219_03_020401_20230117T121638.nc,1.0
3219,NO2,2018-05-28T06:41:53Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/28/S5P_RPRO_L2__NO2____20180528T064153_20180528T082323_03219_03_020400_20221129T154240/S5P_RPRO_L2__NO2____20180528T064153_20180528T082323_03219_03_020400_20221129T154240.nc,1.0
3219,SO2,2018-05-28T06:41:53Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/28/S5P_RPRO_L2__SO2____20180528T064153_20180528T082323_03219_03_020401_20230117T132727/S5P_RPRO_L2__SO2____20180528T064153_20180528T082323_03219_03_020401_20230117T132727.nc,1.0
3233,HCHO,2018-05-29T06:22:53Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/29/S5P_RPRO_L2__HCHO___20180529T062253_20180529T080423_03233_03_020401_20230117T135516/S5P_RPRO_L2__HCHO___20180529T062253_20180529T080423_03233_03_020401_20230117T135516.nc,1.0
3233,NO2,2018-05-29T06:22:53Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/29/S5P_RPRO_L2__NO2____20180529T062253_20180529T080423_03233_03_020400_20221129T154303/S5P_RPRO_L2__NO2____20180529T062253_20180529T080423_03233_03_020400_20221129T154303.nc,1.0
3233,SO2,2018-05-29T06:22:53Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/29/S5P_RPRO_L2__SO2____20180529T062253_20180529T080423_03233_03_020401_20230117T151625/S5P_RPRO_L2__SO2____20180529T062253_20180529T080423_03233_03_020401_20230117T151625.nc,1.0
3247,HCHO,2018-05-30T06:03:52Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/30/S5P_RPRO_L2__HCHO___20180530T060352_20180530T074522_03247_03_020401_20230117T152946/S5P_RPRO_L2__HCHO___20180530T060352_20180530T074522_03247_03_020401_20230117T152946.nc,1.0
3247,NO2,2018-05-30T06:03:52Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/30/S5P_RPRO_L2__NO2____20180530T060352_20180530T074522_03247_03_020400_20221129T154328/S5P_RPRO_L2__NO2____20180530T060352_20180530T074522_03247_03_020400_20221129T154328.nc,1.0
