sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3094,HCHO,2018-05-19T11:14:22Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/19/S5P_RPRO_L2__HCHO___20180519T111422_20180519T125552_03094_03_020401_20230116T144250/S5P_RPRO_L2__HCHO___20180519T111422_20180519T125552_03094_03_020401_20230116T144250.nc,1.0
3094,NO2,2018-05-19T11:14:22Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/19/S5P_RPRO_L2__NO2____20180519T111422_20180519T125552_03094_03_020400_20221129T141132/S5P_RPRO_L2__NO2____20180519T111422_20180519T125552_03094_03_020400_20221129T141132.nc,1.0
3094,SO2,2018-05-19T11:14:22Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/19/S5P_RPRO_L2__SO2____20180519T111422_20180519T125552_03094_03_020401_20230116T162516/S5P_RPRO_L2__SO2____20180519T111422_20180519T125552_03094_03_020401_20230116T162516.nc,1.0
3108,HCHO,2018-05-20T10:55:23Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/20/S5P_RPRO_L2__HCHO___20180520T105523_20180520T123653_03108_03_020401_20230116T162526/S5P_RPRO_L2__HCHO___20180520T105523_20180520T123653_03108_03_020401_20230116T162526.nc,1.0
3108,NO2,2018-05-20T10:55:23Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/20/S5P_RPRO_L2__NO2____20180520T105523_20180520T123653_03108_03_020400_20221129T142802/S5P_RPRO_L2__NO2____20180520T105523_20180520T123653_03108_03_020400_20221129T142802.nc,1.0
3108,SO2,2018-05-20T10:55:23Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/20/S5P_RPRO_L2__SO2____20180520T105523_20180520T123653_03108_03_020401_20230116T182359/S5P_RPRO_L2__SO2____20180520T105523_20180520T123653_03108_03_020401_20230116T182359.nc,1.0
3122,HCHO,2018-05-21T10:36:23Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/21/S5P_RPRO_L2__HCHO___20180521T103623_20180521T121753_03122_03_020401_20230116T180414/S5P_RPRO_L2__HCHO___20180521T103623_20180521T121753_03122_03_020401_20230116T180414.nc,1.0
3122,NO2,2018-05-21T10:36:23Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/21/S5P_RPRO_L2__NO2____20180521T103623_20180521T121753_03122_03_020400_20221129T143611/S5P_RPRO_L2__NO2____20180521T103623_20180521T121753_03122_03_020400_20221129T143611.nc,1.0
3122,SO2,2018-05-21T10:36:23Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/21/S5P_RPRO_L2__SO2____20180521T103623_20180521T121753_03122_03_020401_20230116T201725/S5P_RPRO_L2__SO2____20180521T103623_20180521T121753_03122_03_020401_20230116T201725.nc,1.0
3136,HCHO,2018-05-22T10:17:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/22/S5P_RPRO_L2__HCHO___20180522T101724_20180522T115854_03136_03_020401_20230116T193948/S5P_RPRO_L2__HCHO___20180522T101724_20180522T115854_03136_03_020401_20230116T193948.nc,1.0
3136,NO2,2018-05-22T10:17:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/22/S5P_RPRO_L2__NO2____20180522T101724_20180522T115854_03136_03_020400_20221129T143637/S5P_RPRO_L2__NO2____20180522T101724_20180522T115854_03136_03_020400_20221129T143637.nc,1.0
3136,SO2,2018-05-22T10:17:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/22/S5P_RPRO_L2__SO2____20180522T101724_20180522T115854_03136_03_020401_20230116T220713/S5P_RPRO_L2__SO2____20180522T101724_20180522T115854_03136_03_020401_20230116T220713.nc,1.0
3151,HCHO,2018-05-23T11:39:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/23/S5P_RPRO_L2__HCHO___20180523T113954_20180523T132124_03151_03_020401_20230116T213040/S5P_RPRO_L2__HCHO___20180523T113954_20180523T132124_03151_03_020401_20230116T213040.nc,1.0
3151,NO2,2018-05-23T11:39:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/23/S5P_RPRO_L2__NO2____20180523T113954_20180523T132124_03151_03_020400_20221129T144513/S5P_RPRO_L2__NO2____20180523T113954_20180523T132124_03151_03_020400_20221129T144513.nc,1.0
3151,SO2,2018-05-23T11:39:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/23/S5P_RPRO_L2__SO2____20180523T113954_20180523T132124_03151_03_020401_20230116T235204/S5P_RPRO_L2__SO2____20180523T113954_20180523T132124_03151_03_020401_20230116T235204.nc,1.0
3179,HCHO,2018-05-25T11:01:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/25/S5P_RPRO_L2__HCHO___20180525T110154_20180525T124324_03179_03_020401_20230117T073833/S5P_RPRO_L2__HCHO___20180525T110154_20180525T124324_03179_03_020401_20230117T073833.nc,1.0
