sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3137,HCHO,2018-05-22T11:58:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/22/S5P_RPRO_L2__HCHO___20180522T115854_20180522T134024_03137_03_020401_20230116T193948/S5P_RPRO_L2__HCHO___20180522T115854_20180522T134024_03137_03_020401_20230116T193948.nc,1.0
3137,NO2,2018-05-22T11:58:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/22/S5P_RPRO_L2__NO2____20180522T115854_20180522T134024_03137_03_020400_20221129T143638/S5P_RPRO_L2__NO2____20180522T115854_20180522T134024_03137_03_020400_20221129T143638.nc,1.0
3137,SO2,2018-05-22T11:58:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/22/S5P_RPRO_L2__SO2____20180522T115854_20180522T134024_03137_03_020401_20230116T220713/S5P_RPRO_L2__SO2____20180522T115854_20180522T134024_03137_03_020401_20230116T220713.nc,1.0
3151,HCHO,2018-05-23T11:39:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/23/S5P_RPRO_L2__HCHO___20180523T113954_20180523T132124_03151_03_020401_20230116T213040/S5P_RPRO_L2__HCHO___20180523T113954_20180523T132124_03151_03_020401_20230116T213040.nc,1.0
3151,NO2,2018-05-23T11:39:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/23/S5P_RPRO_L2__NO2____20180523T113954_20180523T132124_03151_03_020400_20221129T144513/S5P_RPRO_L2__NO2____20180523T113954_20180523T132124_03151_03_020400_20221129T144513.nc,1.0
3151,SO2,2018-05-23T11:39:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/23/S5P_RPRO_L2__SO2____20180523T113954_20180523T132124_03151_03_020401_20230116T235204/S5P_RPRO_L2__SO2____20180523T113954_20180523T132124_03151_03_020401_20230116T235204.nc,1.0
3152,HCHO,2018-05-23T13:21:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/23/S5P_RPRO_L2__HCHO___20180523T132124_20180523T150254_03152_03_020401_20230116T213040/S5P_RPRO_L2__HCHO___20180523T132124_20180523T150254_03152_03_020401_20230116T213040.nc,1.0
3152,NO2,2018-05-23T13:21:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/23/S5P_RPRO_L2__NO2____20180523T132124_20180523T150254_03152_03_020400_20221129T144515/S5P_RPRO_L2__NO2____20180523T132124_20180523T150254_03152_03_020400_20221129T144515.nc,1.0
3152,SO2,2018-05-23T13:21:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/23/S5P_RPRO_L2__SO2____20180523T132124_20180523T150254_03152_03_020401_20230116T235205/S5P_RPRO_L2__SO2____20180523T132124_20180523T150254_03152_03_020401_20230116T235205.nc,1.0
3180,HCHO,2018-05-25T12:43:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/25/S5P_RPRO_L2__HCHO___20180525T124324_20180525T142454_03180_03_020401_20230117T073834/S5P_RPRO_L2__HCHO___20180525T124324_20180525T142454_03180_03_020401_20230117T073834.nc,1.0
